index;x;y;z
332;0.126297;-1.306686;-0.296814
333;0.261658;-0.614670;-0.304108
334;0.129562;-1.291138;-0.212677
335;0.298660;-0.709274;-0.206879
336;0.213211;-1.172012;-0.116653
337;0.246292;-1.026642;-0.141754
338;0.397034;-1.024490;-0.147110
339;0.048019;-0.712280;-0.050278
340;0.034653;-0.951157;-0.058167
341;0.271973;-1.047424;-0.278976
342;0.166122;-1.657791;-0.252716
343;-0.097092;0.221405;0.018082
344;0.062119;-1.609406;-0.207565
345;0.255219;-0.675079;-0.358154
346;0.038254;-1.357025;-0.221451
347;0.101532;-0.739517;-0.256378
348;0.184982;-1.028580;-0.270218
349;0.028961;-1.017899;-0.240952
350;0.154053;-0.952087;-0.238647
351;0.109085;-0.884140;-0.202026
352;0.339340;-1.065033;-0.252060
353;0.223129;-1.030350;-0.136597
354;0.268768;-0.783279;-0.093628
355;0.243713;-1.091782;-0.184982
356;0.151642;-1.117584;-0.120041
357;0.108307;-0.843826;-0.046631
358;0.243057;-0.835770;-0.178513
359;-0.011551;-1.034103;-0.119202
360;0.091797;-0.601791;-0.081909
361;0.188553;-1.248322;-0.214920
362;0.322403;-1.061279;-0.286285
363;0.002365;-0.897156;-0.064529
364;0.113480;-0.728485;-0.136108
365;0.263779;-0.969147;-0.293915
366;0.078644;-1.037201;-0.160553
367;0.197037;-1.085403;-0.243958
368;0.164093;-0.890213;-0.194824
369;0.104355;-0.926651;-0.151169
370;0.199219;-1.003571;-0.268234
371;0.036911;-0.974258;-0.135193
372;0.040436;-0.832947;-0.155106
373;0.158005;-1.253464;-0.357056
374;0.068619;-1.255997;-0.430817
375;-0.078995;-0.691681;-0.247543
376;0.160385;-0.784058;-0.308167
377;0.196579;-1.130600;-0.222931
378;0.135513;-0.662720;-0.028687
379;0.120453;-1.110611;-0.082230
380;0.302673;-1.166809;-0.235764
381;0.107437;-0.956177;-0.120163
382;0.050323;-0.723892;-0.114120
383;0.385376;-1.275940;-0.392166
384;0.116394;-1.324860;-0.177841
385;-0.050201;0.273376;0.155975
386;0.216629;-1.531860;-0.242523
387;0.242386;-1.061768;-0.187241
388;0.045807;-0.303070;0.075836
389;-0.031799;-0.056992;0.027344
390;0.184357;-2.537598;-0.385239
391;0.438965;-0.620956;-0.331055
392;-0.135010;-1.458679;0.085693
393;0.175766;-0.409195;-0.169846
394;0.307144;-1.390762;-0.323395
395;0.038467;-0.550751;-0.187469
396;0.156235;-1.461105;-0.276184
397;0.338028;-0.202408;-0.313171
398;0.171036;-1.814377;-0.427353
399;-0.690216;-1.212448;0.196457
400;0.366516;0.300095;-0.253647
401;0.167328;-1.932892;-0.347198
402;-0.455032;-0.267670;-0.078156
403;0.258057;-1.605515;-0.452240
404;0.154907;-0.936508;-0.225235
405;-0.264969;-0.939331;-0.036438
