index;x;y;z
241;-0.096298;1.413986;-0.284470
242;0.013336;0.390762;-0.406693
243;-0.229095;-0.135895;-1.422516
244;-0.123749;0.281876;-0.771255
245;0.000610;0.601044;-0.761230
246;0.175995;0.673767;-0.682526
247;0.227264;0.668121;-0.471954
248;0.472580;0.486145;-0.665741
249;0.450226;0.313156;-1.578171
250;0.195923;0.072006;-0.492172
251;0.000198;0.525436;-0.987366
252;-0.034393;1.006836;-0.688416
253;-0.014679;0.268326;-0.923691
254;0.129608;0.423721;-0.466843
255;0.281372;0.262024;-1.315247
256;0.350830;0.565002;-0.805222
257;0.156891;0.271133;-0.617798
258;0.055496;0.272552;-1.424271
259;0.109070;1.103256;-0.047882
260;0.107269;0.529770;-0.897446
261;0.176453;0.264847;-0.649567
262;0.245544;0.296539;-1.510574
263;0.393860;0.968369;-0.339325
264;0.291168;0.178970;-1.035187
265;0.125626;-0.011627;-1.230286
266;0.030243;0.768753;-0.730835
267;0.071259;0.671173;-1.532104
268;0.115540;0.481873;-0.183792
269;-0.098770;0.246262;-1.084747
270;0.064102;0.416809;-0.778152
271;0.030228;0.543060;-1.031570
272;0.170471;0.559311;-0.686707
273;0.220978;0.773895;-0.834473
274;0.348160;0.311356;-0.867279
275;0.262482;0.054520;-1.156418
276;0.113159;0.445221;-1.330811
277;0.034164;1.024475;-0.441772
278;-0.075546;0.284958;-0.727600
279;-0.197861;-0.073624;-1.404465
280;-0.155396;0.642410;-1.057220
281;-0.073441;0.675812;-0.501175
282;0.038452;0.305725;-0.957626
283;0.102951;0.409470;-0.893311
284;0.108383;0.293701;-1.199051
285;0.111618;0.368683;-0.870636
286;0.032166;0.397186;-0.914505
287;0.010941;0.615417;-0.812256
288;-0.071716;0.254776;-0.985046
289;-0.150803;0.245209;-0.655197
290;-0.186996;0.727554;-0.891434
291;0.115372;0.778870;-0.588211
292;0.334488;0.502213;-0.863770
293;0.358795;0.344788;-1.157867
294;0.269043;0.346313;-0.986862
295;0.078415;0.370331;-0.915695
296;-0.054245;0.481064;-0.696930
297;-0.170303;0.419434;-1.058746
298;-0.129135;0.475281;-0.732239
299;-0.095169;0.356079;-0.860123
300;-0.037247;0.369965;-1.046524
301;0.036667;0.523514;-0.853989
302;0.008972;0.267471;-0.849213
303;-0.003494;0.370087;-1.130234
304;0.070297;0.681870;-0.782333
305;0.094437;0.510742;-0.747986
306;0.112610;0.275330;-0.903168
307;0.057617;0.376709;-0.900070
308;0.088776;0.554947;-0.945587
309;0.074554;0.732620;-0.544220
310;0.075516;0.427109;-0.887512
311;0.081390;0.235428;-0.863220
312;-0.011429;0.235153;-1.060562
313;-0.057602;0.530472;-0.757172
314;0.023529;0.658386;-0.827698
315;0.025772;0.403778;-1.069611
316;0.002777;0.411514;-0.982269
317;-0.084320;0.295013;-1.027313
318;-0.092163;0.405045;-0.980606
319;-0.072052;0.468674;-0.685303
320;-0.022751;0.234497;-0.772079
321;0.071106;0.483246;-0.936661
322;0.084106;0.571823;-0.867096
323;0.177521;0.531570;-0.761185
324;0.188965;0.585037;-0.836334
325;0.206680;0.439590;-0.861176
326;0.175446;0.627563;-0.650726
327;0.274124;0.570129;-0.712906
328;0.204742;0.302078;-0.833908
329;0.208359;0.413467;-0.894287
330;0.126556;0.570160;-0.830811
331;0.184753;0.697830;-0.720062
332;0.223755;0.499329;-0.715134
333;0.214310;0.383240;-1.144455
334;0.204468;0.686768;-0.832443
335;0.157166;0.519714;-1.017426
336;0.083969;0.332901;-0.538300
337;0.047318;0.156204;-1.952728
338;0.106171;1.029495;-0.163803
339;0.043625;0.156418;-0.765091
340;0.050964;-0.801117;-1.228088
341;-0.101822;0.873245;-1.302628
342;0.237671;1.336975;-0.445328
343;0.338013;0.421249;-0.594742
344;0.333160;0.431854;-0.741913
345;0.411560;0.196548;-1.101242
346;0.407288;0.356567;-2.033447
347;0.221375;0.880859;0.822678
348;-0.199326;-0.011383;-2.298309
349;0.370956;1.064346;0.137741
350;0.152985;0.406693;-0.875717
351;0.271454;0.130096;-0.683182
352;0.288162;0.661697;-0.408432
353;0.426727;0.515701;-0.986267
354;0.611420;0.995773;-0.298950
355;0.510986;0.087662;-1.085327
356;0.570221;0.581833;-0.786728
357;0.402573;0.521820;-0.902023
358;0.104538;-0.005096;-0.353745
359;0.193054;0.584564;-0.831406
360;0.310196;1.160614;-0.636322
361;0.429245;0.555557;-1.048737
362;0.441940;0.173569;-0.986359
363;0.227234;0.316055;-0.775864
364;0.175354;0.480209;-0.971832
365;-0.020309;0.599228;-1.226059
366;-0.007812;0.463348;-0.149551
367;0.021713;0.333496;-1.242371
368;0.311783;0.817017;-0.238144
369;0.239563;0.117508;-1.999390
370;0.335648;0.283142;0.037155
371;-0.088974;0.573700;-1.112564
372;0.061844;0.437363;-1.047089
373;-0.088547;0.357941;-1.163544
374;-0.085831;0.542862;-0.312256
375;0.057648;1.122864;-0.462402
376;0.029037;-1.170609;-1.334106
377;0.147720;1.035400;-1.380386
378;0.354095;1.386841;-0.345856
379;0.289032;0.353287;-1.787888
380;0.327499;0.409622;-0.023911
381;0.276657;0.292847;-1.561447
382;0.214005;0.300461;-0.789200
383;0.057770;0.630783;-1.129272
384;0.129654;0.969543;0.095840
385;-0.049988;0.134903;-1.851242
386;0.032349;-0.162796;0.692291
387;-0.354752;0.354721;-2.034409
388;0.216507;1.147369;-1.151581
389;0.107513;0.841263;-1.130127
390;0.389160;0.503006;-0.575516
391;0.153442;-0.031967;-1.990005
392;0.086807;0.262741;-1.039978
393;-0.222687;0.288483;-1.385773
394;-0.102585;0.594894;0.594559
395;-0.319443;0.107452;-2.277145
396;0.002213;0.271439;-0.093781
397;-0.139069;0.439606;-0.995682
398;0.207077;0.901093;-1.033310
399;0.216858;0.537796;-0.010452
400;0.162430;0.041794;-2.024078
401;0.221344;0.414124;-1.288864
402;-0.113770;0.424835;-0.517197
403;-0.059601;0.391342;-0.928268
404;-0.145370;0.520493;-0.428848
405;-0.030350;0.475479;-0.604767
406;0.056976;0.518280;-1.088211
407;0.238724;0.819702;-0.386047
408;0.263748;0.074554;-2.042740
409;0.167252;-0.035416;-1.509018
410;0.061844;0.619934;-0.257568
411;0.001297;0.519653;-0.907806
412;-0.011276;0.369553;-0.746399
413;-0.060455;0.475754;-0.872635
414;0.026520;0.419327;-0.923935
415;0.036713;0.260269;-0.902069
416;0.119766;0.470459;-1.039795
417;0.014084;0.229187;-0.957443
418;0.014420;0.316544;-1.175674
419;0.016464;0.508606;-0.910065
420;-0.007416;0.399185;-0.729736
421;0.010925;0.427032;-0.695633
422;-0.006714;0.108521;-0.918915
423;0.033615;0.492920;-0.613861
424;0.051468;0.701157;-0.900116
425;0.196884;0.405396;-0.846008
426;0.274384;0.690720;-1.062836
427;0.303314;0.708313;-0.856949
428;0.214249;0.185394;-1.166489
429;0.057068;0.254562;-1.109238
430;-0.116821;0.498825;-0.928116
431;-0.155731;0.376297;-0.460510
432;-0.074142;0.172867;-1.025818
433;0.043808;0.546204;-0.618729
434;0.187103;0.606033;-1.063171
435;0.309204;0.690201;-1.068375
436;0.205994;0.410248;-1.356201
437;0.010208;0.214905;-1.130112
438;-0.169876;0.190323;-1.312698
439;-0.127243;0.652740;-0.154404
440;-0.280746;0.151352;-0.831619
441;-0.100159;-0.168564;-1.072479
442;0.028549;0.923508;-0.570755
443;0.173477;1.200516;-0.365646
444;0.190506;0.040176;-1.184875
445;-0.046967;0.236816;-0.761078
446;-0.057617;0.021515;-1.366852
447;0.043549;1.031219;0.029831
448;0.182968;0.777573;-0.957489
449;0.191742;0.094696;-1.465118
450;-0.063599;-0.025864;-0.724731
451;-0.019791;0.802673;-0.792480
452;0.004791;0.767883;-0.810333
453;0.096741;0.277664;-0.410568
454;0.009537;0.224884;-1.416611
455;0.107193;0.470657;-0.758881
456;0.028046;0.427002;-0.939941
457;0.170761;1.154587;-0.658569
458;0.089890;0.028168;-1.181854
459;0.073563;0.308456;-0.371704
460;-0.018433;1.307724;-0.495544
461;-0.045746;-0.056320;-1.538651
462;-0.061295;0.294830;-0.913773
463;-0.129501;0.254120;-0.792694
464;0.003510;0.511429;-0.343170
465;-0.094864;0.449936;-0.301178
466;0.063019;-0.003082;-1.321106
467;0.039825;0.350067;-1.019318
468;0.199432;1.189636;-0.353180
469;-0.007248;0.186981;-1.548096
470;0.092834;0.792038;-0.390839
471;-0.152985;-0.207779;-1.382172
472;0.031036;0.430084;0.340805
473;-0.149033;0.316757;-1.205170
474;0.264069;0.718109;-0.897507
475;0.248520;0.682663;-0.483780
476;0.446732;0.688736;-0.573532
477;0.308029;0.061462;-1.735474
478;0.146057;0.195114;-0.520050
479;0.057907;0.648300;-1.446274
480;-0.020554;0.571945;-0.384857
481;-0.069504;0.222504;-0.644852
482;-0.273407;0.004791;-1.042313
483;-0.026993;0.400970;-0.741653
484;0.034576;0.538208;-0.726852
485;0.107727;0.591476;-1.113144
486;0.074585;0.369614;-1.041885
487;-0.035416;0.120758;-0.843201
488;-0.158157;0.370193;-0.826599
489;-0.229721;0.567123;-1.080963
490;-0.051941;0.526733;-0.935165
491;0.064865;0.729004;-1.075851
492;0.071350;-0.068695;-0.393631
493;-0.021637;-0.396927;-1.971130
494;0.201431;2.027893;0.017502
495;0.257919;0.584610;-0.953461
496;0.141922;-0.302383;-1.069870
497;-0.327179;-0.044037;-1.319107
498;-0.369537;0.320221;-1.567337
499;-0.171082;0.972198;-0.238525
500;-0.048859;0.521088;-0.108124
501;-0.147232;0.015289;-1.680481
502;-0.017136;-0.683319;-0.547180
503;0.070831;1.683380;-0.477066
504;0.358841;0.864655;-0.884979
505;0.114014;-0.185425;-1.711243
506;-0.083771;-0.623138;-1.263962
507;-0.105087;0.627777;-0.484940
508;-0.034988;1.380112;-0.401001
509;0.075806;0.177277;-0.909058
510;-0.209259;-0.380676;-1.518158
511;-0.369736;0.147934;-0.552170
512;-0.190262;1.172516;-0.297104
513;-0.051758;0.599167;-0.480438
514;-0.028473;-0.151764;-1.904984
515;0.069946;0.675522;-1.204132
516;0.003922;0.689850;-0.207016
517;-0.085266;-0.450912;-0.817154
518;-0.305542;0.285690;-1.583069
519;-0.205353;1.574753;0.079453
520;0.112457;0.272583;-1.030029
521;0.038956;-0.043625;-0.863663
522;-0.276810;0.279541;-1.508820
523;-0.070084;0.487167;-0.636948
524;-0.080978;0.403687;-0.777557
525;-0.191544;0.057617;-1.253937
526;-0.203415;0.200806;-1.012177
527;0.094803;0.908691;-0.284073
528;0.187515;0.811584;-0.672729
529;0.101868;0.291336;-1.095932
530;-0.031464;0.040375;-1.321686
531;-0.038574;0.169479;-1.328690
532;-0.126633;0.588409;-0.272736
533;-0.166031;0.382416;-1.127716
534;-0.067657;0.544998;-0.650757
535;0.034210;0.645493;-0.705841
536;0.010330;0.431198;-1.091415
537;-0.051941;0.047089;-1.138519
538;-0.085678;0.206924;-0.808029
539;-0.126648;0.306030;-0.947418
540;-0.020645;0.551117;-0.946716
541;-0.013168;0.758240;-0.531540
542;-0.001144;0.240234;-1.076675
