index;x;y;z
244;0.038513;0.431107;-0.861160
245;-0.002106;0.466156;-0.841141
246;-0.029236;0.421814;-0.815887
247;-0.016846;0.574432;-0.905396
248;0.026794;0.746735;-0.993591
249;0.038666;0.664307;-0.875824
250;0.027130;0.496246;-0.801254
251;0.030212;0.631241;-0.935623
252;0.039993;0.620209;-0.860275
253;0.034943;0.394730;-0.679611
254;0.029602;0.323593;-0.713043
255;0.031815;0.514526;-0.797974
256;0.073685;0.631683;-0.918442
257;0.061584;0.653442;-0.926697
258;0.020523;0.627258;-0.918106
259;0.029831;0.538574;-0.819122
260;0.003403;0.462418;-0.819168
261;-0.012207;0.642548;-0.924454
262;-0.013000;0.630371;-0.800629
263;-0.007019;0.408890;-0.698624
264;-0.000854;0.302994;-0.728012
265;0.023544;0.451202;-0.815536
266;0.055771;0.595001;-0.911850
267;0.070236;0.646118;-0.946396
268;0.055054;0.572723;-0.918640
269;0.042755;0.514084;-0.906509
270;0.038712;0.455292;-0.900040
271;0.030838;0.403259;-0.849411
272;0.042557;0.417831;-0.844620
273;0.048920;0.406052;-0.818710
274;0.061264;0.528549;-0.970917
275;0.060303;0.598328;-0.960526
276;0.090439;0.482834;-0.934708
277;0.108582;0.447235;-0.848633
278;0.088242;0.433594;-0.851761
279;0.094025;0.536804;-0.894470
280;0.082779;0.486603;-0.846069
281;0.055817;0.457443;-0.843384
282;0.040802;0.494583;-0.817993
283;0.038544;0.488205;-0.825241
284;0.042084;0.495300;-0.834213
285;0.042465;0.559128;-0.892014
286;0.074539;0.665726;-0.911301
287;0.084946;0.577972;-0.848709
288;0.103455;0.509750;-0.854584
289;0.073044;0.509644;-0.858414
290;0.071671;0.520752;-0.877365
291;0.090912;0.533493;-0.921356
292;0.089157;0.465591;-0.907089
293;0.069321;0.388672;-0.919434
294;0.077316;0.346863;-0.862640
295;0.089203;0.220154;-0.897339
296;0.105072;0.191010;-0.859131
297;0.103714;0.208145;-0.833969
298;0.098511;0.279648;-0.857895
299;0.100601;0.478561;-0.952545
300;0.080307;0.545975;-1.018967
