index;x;y;z
345;-0.183487;0.931320;0.359055
346;-0.171844;0.900009;0.353027
347;-0.226746;0.946854;0.425751
348;-0.236389;0.981689;0.410507
349;-0.131439;0.824051;0.346588
350;-0.084900;0.803284;0.308884
351;-0.105057;0.947296;0.302200
352;-0.137680;0.918518;0.339142
353;-0.156097;0.996078;0.332703
354;-0.171722;0.973373;0.365753
355;-0.226181;1.021881;0.364944
356;-0.224396;0.883133;0.431091
357;-0.151413;0.708206;0.329346
358;-0.174820;0.793457;0.251968
359;-0.161392;0.736588;0.305435
360;-0.180984;0.853912;0.348953
361;-0.216476;0.889984;0.448242
362;-0.192688;1.122604;0.107635
363;-0.109543;1.123642;0.754547
364;-0.131622;1.068237;0.158356
365;-0.125275;0.968811;0.322815
366;-0.132599;0.945251;0.464355
367;-0.062302;0.645950;-0.020966
368;-0.106461;0.714737;0.156723
369;-0.181580;1.004379;0.431183
370;-0.231857;0.685410;0.212311
371;0.085693;0.560944;0.018936
372;-0.324402;0.899323;-0.086594
373;-0.307983;1.224335;1.042175
374;-0.312469;1.486557;0.399368
375;-0.131012;0.938690;0.495300
376;-0.265793;1.026962;0.430740
377;-0.123596;0.832214;0.519211
378;-0.211533;0.781342;-0.128067
379;-0.403137;1.272690;1.166153
380;0.158691;0.452713;0.071991
381;-0.308167;0.810562;-0.381226
382;-0.007523;0.778595;0.305588
383;-0.328293;1.100494;0.731400
384;-0.226639;1.159668;0.102158
385;0.157288;0.744263;0.074203
386;-0.161575;0.825745;0.454681
387;-0.366592;0.910645;0.593460
388;-0.299042;1.139847;-0.065155
389;-0.156097;0.941299;0.896988
390;-0.287384;0.995575;0.440445
391;-0.090424;0.723022;0.010635
392;-0.150406;0.799667;0.364471
393;-0.259979;0.933075;0.237579
394;-0.255569;1.178787;0.426590
395;-0.189941;1.081131;0.485596
396;-0.051437;0.791199;0.045074
397;-0.073303;0.793274;0.429764
398;-0.113586;0.935181;0.372787
399;-0.146194;0.991272;0.274918
400;-0.147125;1.047577;0.509613
401;-0.249512;1.156540;0.117264
402;-0.212372;0.699768;0.640427
403;-0.279694;1.049500;-0.187698
404;-0.185333;0.800934;0.684906
405;-0.236206;1.118057;0.145218
406;-0.252487;0.781219;0.487823
407;-0.198486;1.121964;0.342072
408;-0.211533;0.851196;0.396240
409;-0.289612;1.217331;0.249680
410;-0.208755;0.844955;0.584961
411;0.023544;0.629837;-0.566864
412;-0.171371;0.878387;0.407852
413;-0.324219;0.774948;0.647736
414;-0.200073;1.169830;-0.199844
415;-0.120819;0.991989;0.798203
416;-0.276932;0.923508;0.441986
417;-0.254715;0.909225;0.202026
418;-0.256393;1.261276;0.326080
419;-0.269974;1.037430;0.591797
420;-0.175919;0.926910;0.180862
421;-0.201157;0.769699;0.515656
422;-0.034302;0.697174;-0.329941
423;-0.016205;0.807343;0.381714
424;-0.243713;0.858521;0.517685
425;-0.223831;1.003860;-0.091293
426;-0.100784;1.207947;0.732834
427;-0.326920;1.262054;0.714066
428;-0.233826;0.929184;0.341995
429;-0.258865;0.850449;0.085022
430;-0.160324;0.764786;0.570740
431;-0.213837;0.807388;0.071060
432;-0.227539;0.933289;0.407364
433;-0.207794;0.872620;0.279755
434;-0.091919;0.829849;0.212204
435;-0.263336;1.123291;0.588959
436;0.039001;0.713089;0.277893
437;-0.287216;0.731628;0.011917
438;-0.064011;0.790283;0.372940
439;-0.329376;1.258575;0.625015
440;-0.232941;1.197327;0.627731
441;-0.167007;0.767410;0.178101
442;-0.132248;0.710968;0.364410
443;-0.099762;0.847351;0.319717
444;-0.224411;0.987473;0.250366
445;-0.133224;0.886032;0.373520
446;-0.232239;0.901001;0.364670
447;-0.287613;1.145081;0.282028
448;-0.138611;0.965714;0.391098
449;-0.249863;0.918243;0.333542
450;-0.153122;0.835770;0.335968
451;-0.200607;0.877472;0.392319
452;-0.239090;0.981995;0.426208
453;-0.183716;0.878128;0.327133
454;-0.137619;0.917480;0.286774
455;-0.151718;0.916763;0.347885
456;-0.143921;0.915176;0.292358
457;-0.127991;0.926636;0.210388
458;-0.150024;1.037750;0.297211
459;-0.109116;0.975174;0.301315
460;-0.205399;1.003433;0.391647
461;-0.089981;0.757339;0.224548
462;-0.204208;0.954483;0.361069
463;-0.124695;0.923508;0.276962
464;-0.199265;0.826752;0.342468
465;-0.185013;0.888794;0.302795
466;-0.180496;0.992889;0.441666
467;-0.212540;1.043488;0.411346
468;-0.156204;1.016830;0.360641
469;-0.136398;1.003967;0.303116
470;-0.152924;0.882629;0.382431
471;-0.195816;0.895187;0.334427
472;-0.165146;0.883896;0.219971
473;-0.098022;0.820572;0.266617
474;-0.185486;0.769943;0.279556
475;-0.174835;0.826782;0.310059
476;-0.178192;0.964447;0.398087
477;-0.146667;0.943771;0.382339
478;-0.217590;0.938522;0.399033
479;-0.111603;0.932297;0.105423
480;-0.160889;1.018982;0.583694
481;-0.136230;1.096695;0.342224
482;-0.070770;0.865479;0.256927
483;-0.088959;0.837708;0.136505
484;-0.166138;0.913803;0.356247
485;-0.186829;1.063690;0.427490
486;-0.236130;0.992416;0.399811
487;-0.193878;0.918640;0.369766
488;-0.152786;0.801056;0.253372
489;-0.182220;1.041092;0.326874
490;-0.214523;0.962555;0.403854
